Context,Response
"Context: yes, i saw it on the tv news.",Response: they need 300 new workers.
Context: they need 300 new workers.,"Response: and 4,000 people showed up."
"Context: and 4,000 people showed up.",Response: so many people are out of work.
Context: so many people are out of work.,"Response: i still have my job, thank goodness."
"Context: i still have my job, thank goodness.","Response: so do i, but i'm worried."
"Context: so do i, but i'm worried.",Response: me too. there are no guarantees.
Context: me too. there are no guarantees.,"Response: if you lose your job, you can move in with me."
"Context: if you lose your job, you can move in with me.","Response: oh, thank you. that's very nice of you."
"Context: oh, thank you. that's very nice of you.",Response: you would do the same for me.
Context: you would do the same for me.,Response: of course. what are friends for?
Context: i think i did something real stupid.,Response: what did you do?
Context: what did you do?,Response: i bought some stock.
Context: i bought some stock.,Response: everybody buys stock.
Context: everybody buys stock.,Response: i bought it on a hunch.
Context: i bought it on a hunch.,Response: you didn't read about the company first?
Context: you didn't read about the company first?,Response: i didn't have to. it's been in business for 60 years.
Context: i didn't have to. it's been in business for 60 years.,Response: so what's the problem?
Context: so what's the problem?,Response: i used all my savings on this one company.
Context: i used all my savings on this one company.,Response: you put all your eggs into one basket.
Context: you put all your eggs into one basket.,"Response: if the company goes out of business, i'll have nothing."
"Context: if the company goes out of business, i'll have nothing.","Response: oh, you'll have somethingyou'll have a lesson you'll never forget!"
Context: i was going to be a doctor.,Response: what happened to your plans?
Context: what happened to your plans?,Response: i got a d in college chemistry.
Context: i got a d in college chemistry.,"Response: well, a d is better than an f."
"Context: well, a d is better than an f.",Response: a tutor helped me get the d!
Context: a tutor helped me get the d!,"Response: so, you didn't become a doctor."
"Context: so, you didn't become a doctor.",Response: and now i'm glad that i didn't.
Context: and now i'm glad that i didn't.,Response: why's that?
Context: why's that?,Response: a hospital is the most dangerous place in the world.
Context: a hospital is the most dangerous place in the world.,"Response: oh, yes, because of all the killer germs."
"Context: oh, yes, because of all the killer germs.","Response: if you're a smart doctor, you stay away from hospitals."
"Context: if you're a smart doctor, you stay away from hospitals.","Response: yes, the smart doctors are those tv news doctorsno hospitals, no patients."
Context: i want to be a mail carrier when i grow up.,Response: why?
Context: why?,Response: because you get to meet a lot of people.
Context: because you get to meet a lot of people.,Response: you sure do.
Context: you sure do.,Response: and you get a lot of exercise every day.
Context: and you get a lot of exercise every day.,Response: that's the truth.
Context: that's the truth.,Response: and you get to play with a lot of dogs.
Context: and you get to play with a lot of dogs.,"Response: well, you're supposed to be working."
"Context: well, you're supposed to be working.","Response: yes, but i will always pet the friendly dogs."
"Context: yes, but i will always pet the friendly dogs.",Response: what about the unfriendly dogs?
Context: what about the unfriendly dogs?,"Response: i think if you are friendly to dogs, they are friendly to you."
"Context: i think if you are friendly to dogs, they are friendly to you.",Response: dogs are like peoplenot all of them are friendly.
Context: i want to move to new york.,Response: to the state or the city?
Context: to the state or the city?,"Response: to the city, of course."
"Context: to the city, of course.",Response: why do you want to move there?
Context: why do you want to move there?,Response: because i want to make a lot of money.
Context: because i want to make a lot of money.,Response: there are a lot of poor people in new york.
Context: there are a lot of poor people in new york.,Response: there sure areat least a million.
Context: there sure areat least a million.,Response: so how do you plan to become rich?
Context: so how do you plan to become rich?,Response: i will knock on the doors of all the corporations.
Context: i will knock on the doors of all the corporations.,Response: that won't make you rich. nobody will talk to you.
Context: that won't make you rich. nobody will talk to you.,Response: i will keep knocking on doors.
Context: i will keep knocking on doors.,Response: all you will get is sore knuckles.
Context: i love salads.,Response: me too.
Context: me too.,Response: i usually eat a simple salad.
Context: i usually eat a simple salad.,Response: what do you put in it?
Context: what do you put in it?,"Response: just lettuce, tomato, and celery."
"Context: just lettuce, tomato, and celery.",Response: that's it?
Context: that's it?,Response: i add some pepper and salt.
Context: i add some pepper and salt.,Response: i always put cheese in my salads.
Context: i always put cheese in my salads.,"Response: yes, cheese is nice."
"Context: yes, cheese is nice.",Response: what kind of dressing do you use?
Context: what kind of dressing do you use?,Response: i pour lots of french dressing on top.
Context: i pour lots of french dressing on top.,Response: me too. french dressing is so delicious! who cares about calories?
Context: i love cheese.,Response: me too.
Context: me too.,Response: where does cheese come from?
Context: where does cheese come from?,Response: it comes from cows.
Context: it comes from cows.,"Response: so we get cheese from cows, and we get milk, too?"
"Context: so we get cheese from cows, and we get milk, too?","Response: yes, we do."
"Context: yes, we do.",Response: what else do we get from cows?
Context: what else do we get from cows?,Response: we get hamburgers and steak.
Context: we get hamburgers and steak.,"Response: oh, that's so delicious."
"Context: oh, that's so delicious.",Response: we also get leather.
Context: we also get leather.,"Response: we get a lot of things from cows, don't we?"
"Context: we get a lot of things from cows, don't we?",Response: yes. a cow is man's best friend.
Context: i used to work in a deli.,Response: how did you like it?
Context: how did you like it?,Response: i loved it!
Context: i loved it!,Response: did you get free food?
Context: did you get free food?,Response: i ate free cheese and meat every day.
Context: i ate free cheese and meat every day.,Response: that sounds like a great job.
Context: that sounds like a great job.,"Response: whatever a customer ordered, i sliced off a little more for me."
"Context: whatever a customer ordered, i sliced off a little more for me.",Response: did you get fat?
Context: did you get fat?,"Response: no, but i did put on a few pounds."
"Context: no, but i did put on a few pounds.",Response: that sounds like a dream job.
Context: that sounds like a dream job.,"Response: it was, until one day my manager caught me."
"Context: it was, until one day my manager caught me.","Response: no more free cheese for you, huh?"
Context: i'm on a new diet.,Response: what are you eating now?
Context: what are you eating now?,Response: i switched from pasta to potatoes.
Context: i switched from pasta to potatoes.,Response: why did you do that?
Context: why did you do that?,Response: pasta is processed food. potatoes are natural food.
Context: pasta is processed food. potatoes are natural food.,Response: natural food has more vitamins.
Context: natural food has more vitamins.,Response: and it's just as easy to prepare.
Context: and it's just as easy to prepare.,Response: how do you prepare the potatoes?
Context: how do you prepare the potatoes?,"Response: i wash them, and then steam them for 15 minutes."
"Context: i wash them, and then steam them for 15 minutes.",Response: that's pretty simple.
Context: that's pretty simple.,"Response: then i add butter, salt, and pepper."
"Context: then i add butter, salt, and pepper.",Response: can i have all those cans of tomato sauce you bought for your pasta?
Context: my girlfriend's mom got mad at me at the dinner table.,Response: why was that?
Context: why was that?,Response: i sprinkled salt and pepper on the food before i tasted it.
Context: i sprinkled salt and pepper on the food before i tasted it.,Response: what's the matter with that?
Context: what's the matter with that?,Response: her mom is a great cook.
Context: her mom is a great cook.,"Response: so, a little salt and pepper never hurt anything."
"Context: so, a little salt and pepper never hurt anything.",Response: it hurt her feelings.
Context: it hurt her feelings.,Response: oh.
Context: oh.,"Response: i apologized to her, but i could tell she was still upset."
"Context: i apologized to her, but i could tell she was still upset.",Response: maybe you shouldn't eat there again.
Context: maybe you shouldn't eat there again.,Response: i'm sure everything will be okay in a day or two.
Context: i'm sure everything will be okay in a day or two.,Response: it's your girlfriend's fault. she should have warned you.
Context: i eat the same thing every day.,Response: you're kidding.
Context: you're kidding.,"Response: no, i'm serious."
"Context: no, i'm serious.",Response: doesn't that get old?
Context: doesn't that get old?,"Response: no, because i'm eating food that i like."
"Context: no, because i'm eating food that i like.",Response: but the same thing day after day gets old.
Context: but the same thing day after day gets old.,"Response: well, i guess if it ever does get old, i'll change to something different."
"Context: well, i guess if it ever does get old, i'll change to something different.",Response: do you eat fruits and vegetables every day?
Context: do you eat fruits and vegetables every day?,"Response: no, i hate vegetables."
"Context: no, i hate vegetables.",Response: but you eat fruits.
Context: but you eat fruits.,"Response: i eat two apples, one banana, and one orange every day."
"Context: i eat two apples, one banana, and one orange every day.","Response: well, there's nothing wrong with that."
Context: there's something wrong with my orange.,Response: what's wrong?
Context: what's wrong?,Response: it's not orange!
Context: it's not orange!,Response: your orange isn't orange?
Context: your orange isn't orange?,"Response: no, it's dark pink!"
"Context: no, it's dark pink!",Response: are you sure? i never heard of such a thing.
Context: are you sure? i never heard of such a thing.,"Response: i just peeled it, and i'm looking at it right now."
"Context: i just peeled it, and i'm looking at it right now.","Response: let me see. yes, you're right. your orange is pink."
"Context: let me see. yes, you're right. your orange is pink.",Response: who ever heard of such a thing?
Context: who ever heard of such a thing?,"Response: oh, look. here's the little sticker that was on it. it's called a pink navel."
"Context: oh, look. here's the little sticker that was on it. it's called a pink navel.",Response: what is this world coming to?
Context: what is this world coming to?,Response: who knows? maybe soon we'll have pink bananas.
Context: i love peanuts.,"Response: me, too. i love them roasted and salted."
"Context: me, too. i love them roasted and salted.",Response: i love boiled peanuts.
Context: i love boiled peanuts.,Response: boiled? i never heard of that.
Context: boiled? i never heard of that.,Response: just boil raw peanuts in salt water until the shells are soft.
Context: just boil raw peanuts in salt water until the shells are soft.,Response: i'll have to try them sometime.
Context: i'll have to try them sometime.,Response: they're best when they're hot.
Context: they're best when they're hot.,Response: my brother is allergic to peanuts.
Context: my brother is allergic to peanuts.,Response: that's not good.
Context: that's not good.,"Response: no, it isn't. he almost died when he was little."
"Context: no, it isn't. he almost died when he was little.",Response: i guess he has to be very careful about what he eats.
Context: i guess he has to be very careful about what he eats.,Response: he has a very strict diet.
Context: i'm gaining weight.,Response: how much have you gained?
Context: how much have you gained?,Response: three pounds just this month.
Context: three pounds just this month.,Response: do you know why?
Context: do you know why?,Response: i think it's the ice cream.
Context: i think it's the ice cream.,Response: you started eating ice cream?
Context: you started eating ice cream?,Response: it was on sale.
Context: it was on sale.,Response: how much did you buy?
Context: how much did you buy?,Response: i filled up my freezer with ice cream.
Context: i filled up my freezer with ice cream.,"Response: well, it won't last forever."
"Context: well, it won't last forever.","Response: no, i figure i'll finish it all by next week."
"Context: no, i figure i'll finish it all by next week.","Response: then you can start losing weight, if there isn't another sale."
Context: i'm stuffed.,Response: of course you are. you ate everything on the table.
Context: of course you are. you ate everything on the table.,Response: i don't like to eat leftovers.
Context: i don't like to eat leftovers.,Response: i'm glad to hear there's something you don't like to eat.
Context: i'm glad to hear there's something you don't like to eat.,Response: i like my food hot and fresh.
Context: i like my food hot and fresh.,Response: you like to see it disappear.
Context: you like to see it disappear.,Response: i don't like it reheated.
Context: i don't like it reheated.,"Response: well, you'll have hot fresh food tomorrow night."
"Context: well, you'll have hot fresh food tomorrow night.",Response: i'm so full i'm going to burst.
Context: i'm so full i'm going to burst.,Response: you should loosen your belt.
Context: you should loosen your belt.,Response: i already loosened my belt and unbuttoned my pants.
Context: i already loosened my belt and unbuttoned my pants.,"Response: well, don't stand up, please."
Context: i saw what you did.,Response: i didn't do anything.
Context: i didn't do anything.,"Response: oh yes, you did."
"Context: oh yes, you did.",Response: what are you talking about?
Context: what are you talking about?,Response: you know what i'm talking about.
Context: you know what i'm talking about.,Response: i don't have any idea.
Context: i don't have any idea.,Response: you know what you did.
Context: you know what you did.,"Response: maybe i know, but how could you know?"
"Context: maybe i know, but how could you know?",Response: because i was watching you.
Context: because i was watching you.,"Response: okay, i'm sorry i did it."
"Context: okay, i'm sorry i did it.",Response: don't drink milk out of the carton. use a glass!
Context: don't drink milk out of the carton. use a glass!,Response: i promise i'll never drink out of the carton again.
Context: i like that shirt.,Response: so do i.
Context: so do i.,Response: how much is it?
Context: how much is it?,Response: i don't know. the tag is missing.
Context: i don't know. the tag is missing.,Response: ask the clerk.
Context: ask the clerk.,Response: i will.
Context: i will.,"Response: oh, look. here's another shirt just like it."
"Context: oh, look. here's another shirt just like it.",Response: does it have a price tag?
Context: does it have a price tag?,"Response: yes, it does. it's only $20."
"Context: yes, it does. it's only $20.",Response: that's a great price.
Context: that's a great price.,Response: i think i'll buy both of them.
Context: i think i'll buy both of them.,Response: you'd better try them on first.
Context: i bought you a pair of pants.,Response: thank you.
Context: thank you.,Response: i hope they fit.
Context: i hope they fit.,Response: i hope you kept the receipt.
Context: i hope you kept the receipt.,Response: you think they won't fit?
Context: you think they won't fit?,Response: i think i've put on some weight.
Context: i think i've put on some weight.,Response: you think?
Context: you think?,Response: maybe a pound or two.
Context: maybe a pound or two.,Response: maybe four or five pounds?
Context: maybe four or five pounds?,Response: my waist is bigger than it was.
Context: my waist is bigger than it was.,Response: no problem. these pants have an elastic waistband.
Context: no problem. these pants have an elastic waistband.,Response: you are so smart!
Context: what do we need to buy?,Response: let me look at our list.
Context: let me look at our list.,Response: i know that we need milk.
Context: i know that we need milk.,Response: nonfat.
Context: nonfat.,Response: of course. what else?
Context: of course. what else?,"Response: we need cheese, bread, and ham."
"Context: we need cheese, bread, and ham.",Response: what kind of cheese?
Context: what kind of cheese?,Response: swiss.
Context: swiss.,"Response: of course, the cheese with holes in it."
"Context: of course, the cheese with holes in it.",Response: i never used to buy swiss cheese.
Context: i never used to buy swiss cheese.,Response: why not?
Context: why not?,Response: i didn't want to pay for the holes.
Context: i need some pants.,Response: i thought you just bought a pair.
Context: i thought you just bought a pair.,Response: i did.
Context: i did.,Response: what's wrong with them so soon?
Context: what's wrong with them so soon?,"Response: the pants are fine, but the pocket has a huge hole in it."
"Context: the pants are fine, but the pocket has a huge hole in it.",Response: you shouldn't carry your keys and pens in your pocket.
Context: you shouldn't carry your keys and pens in your pocket.,Response: but that's what pockets are for.
Context: but that's what pockets are for.,Response: you should carry them in a purse.
Context: you should carry them in a purse.,"Response: i'm a man, and men don't carry purses!"
"Context: i'm a man, and men don't carry purses!","Response: well, you should buy pants with stronger pockets."
"Context: well, you should buy pants with stronger pockets.",Response: i would if i could find someone who makes strong pockets.
Context: i would if i could find someone who makes strong pockets.,Response: try a google search online.
Context: what are those wipes for?,Response: you use them to wipe the handle of the shopping cart.
Context: you use them to wipe the handle of the shopping cart.,Response: that's a great idea.
Context: that's a great idea.,"Response: yes, all the markets just started offering wipes to shoppers."
"Context: yes, all the markets just started offering wipes to shoppers.",Response: i'm going to take five wipes.
Context: i'm going to take five wipes.,Response: what do you need five of them for?
Context: what do you need five of them for?,"Response: one to wipe the handle, and the others to wipe the produce."
"Context: one to wipe the handle, and the others to wipe the produce.",Response: what's the matter with the produce?
Context: what's the matter with the produce?,Response: do you think the bananas fell from the sky?
Context: do you think the bananas fell from the sky?,Response: what do you mean?
Context: what do you mean?,"Response: i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
"Context: i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","Response: well, you better save a wipe for the dirty dollar bills you're going to pay with."
Context: did you go to the 99 cents store?,"Response: yes, i did."
"Context: yes, i did.",Response: what did you buy?
Context: what did you buy?,"Response: well, i got a lot of good deals, as usual."
"Context: well, i got a lot of good deals, as usual.",Response: like what?
Context: like what?,"Response: well, a dozen large eggs were only 99 cents."
"Context: well, a dozen large eggs were only 99 cents.",Response: that's a good deal.
Context: that's a good deal.,Response: and a one-pound tub of soft butter was the same price.
Context: and a one-pound tub of soft butter was the same price.,Response: another good deal.
Context: another good deal.,Response: but the best deal was five pounds of potatoes for 99 cents.
Context: but the best deal was five pounds of potatoes for 99 cents.,Response: i don't know how that store makes money.
Context: i don't know how that store makes money.,"Response: neither do i, but they're doing something right."
Context: i need a new computer.,Response: what's the matter with yours?
Context: what's the matter with yours?,Response: it's six years old.
Context: it's six years old.,Response: that's pretty old.
Context: that's pretty old.,"Response: it still works, but i'm going to give it to a charity."
"Context: it still works, but i'm going to give it to a charity.",Response: are you going to buy a desktop or laptop?
Context: are you going to buy a desktop or laptop?,"Response: oh, a laptop, of course."
"Context: oh, a laptop, of course.",Response: a pc or a mac?
Context: a pc or a mac?,Response: i haven't decided yet.
Context: i haven't decided yet.,Response: more and more people are using macs.
Context: more and more people are using macs.,Response: but 90 percent of the world uses pcs.
Context: but 90 percent of the world uses pcs.,Response: and that's not going to change anytime soon.
Context: i got ripped off.,Response: what happened?
Context: what happened?,"Response: i had a car problem, so i went online."
"Context: i had a car problem, so i went online.",Response: did you find a solution?
Context: did you find a solution?,"Response: yes, i did. a site i went to said they would send me the solution."
"Context: yes, i did. a site i went to said they would send me the solution.","Response: so, what's the problem?"
"Context: so, what's the problem?","Response: i sent them $20 using my credit card, but they never sent me the solution."
"Context: i sent them $20 using my credit card, but they never sent me the solution.",Response: what are you going to do?
Context: what are you going to do?,Response: i sent them an email asking for my money back.
Context: i sent them an email asking for my money back.,Response: have you heard from them?
Context: have you heard from them?,Response: not yet. it's been a week.
Context: not yet. it's been a week.,"Response: well, i guess that's a $20 lesson for you."
Context: where's the pencil sharpener?,Response: which one?
Context: which one?,Response: any one. i need to sharpen this pencil.
Context: any one. i need to sharpen this pencil.,Response: i think there's one on the dining room table.
Context: i think there's one on the dining room table.,Response: i already looked there.
Context: i already looked there.,Response: did you look in the desk drawer?
Context: did you look in the desk drawer?,"Response: yes, i looked there, too."
"Context: yes, i looked there, too.",Response: don't we have about five sharpeners?
Context: don't we have about five sharpeners?,"Response: yes, but they seem to have legs."
"Context: yes, but they seem to have legs.",Response: tomorrow i'm going to buy an electric sharpener.
Context: tomorrow i'm going to buy an electric sharpener.,Response: get one with the rubber suction cups on the bottom.
Context: get one with the rubber suction cups on the bottom.,Response: yes. that way it will stay where i put it.
Context: i'm trying to stretch my dollars.,Response: how are you doing that?
Context: how are you doing that?,Response: i started shopping at the dollar store.
Context: i started shopping at the dollar store.,Response: that saves a lot of money.
Context: that saves a lot of money.,Response: i bought three pounds of potatoes for a dollar.
Context: i bought three pounds of potatoes for a dollar.,Response: that's a good deal.
Context: that's a good deal.,"Response: yes, even though some of the potatoes had eyes."
"Context: yes, even though some of the potatoes had eyes.",Response: just put them in the fridge.
Context: just put them in the fridge.,"Response: also, i bought a can of cheap coffee and a bag of good coffee."
"Context: also, i bought a can of cheap coffee and a bag of good coffee.",Response: why did you do that?
Context: why did you do that?,Response: i mixed them together.
Context: i mixed them together.,"Response: if the coffee still tastes okay, that's a good idea."
Context: i really like this house.,Response: can we afford it?
Context: can we afford it?,Response: they want 20 percent down.
Context: they want 20 percent down.,Response: that's a lot of money.
Context: that's a lot of money.,Response: but the house is so nice.
Context: but the house is so nice.,Response: it's in a great neighborhood.
Context: it's in a great neighborhood.,Response: it's close to the beach.
Context: it's close to the beach.,Response: it's close to the freeways.
Context: it's close to the freeways.,Response: it's got a big yard.
Context: it's got a big yard.,"Response: the kids love the house, too."
"Context: the kids love the house, too.","Response: if we don't buy it, someone else will."
"Context: if we don't buy it, someone else will.",Response: you're right. let's buy it now. we can worry later.
Context: we can't afford this house.,Response: are you sure?
Context: are you sure?,"Response: we will be house rich, but cash poor."
"Context: we will be house rich, but cash poor.",Response: what do you mean?
Context: what do you mean?,Response: our monthly payments will be too high.
Context: our monthly payments will be too high.,Response: we won't have any money for other things?
Context: we won't have any money for other things?,"Response: no, we won't have money for gas or food."
"Context: no, we won't have money for gas or food.",Response: we'll be eating peanut butter sandwiches?
Context: we'll be eating peanut butter sandwiches?,Response: without the peanut butter!
Context: without the peanut butter!,Response: that's no good!
Context: that's no good!,Response: we have to find a cheaper house.
Context: we have to find a cheaper house.,Response: of course. we can't live without gas or peanut butter.
Context: that is a beautiful house.,Response: i don't like it.
Context: i don't like it.,Response: what's the matter with it?
Context: what's the matter with it?,Response: it's on the corner.
Context: it's on the corner.,Response: so?
Context: so?,Response: that means it gets twice as much traffic.
Context: that means it gets twice as much traffic.,Response: you're right.
Context: you're right.,"Response: when you're inside, you will always hear cars stopping and stopping at the intersection."
"Context: when you're inside, you will always hear cars stopping and stopping at the intersection.",Response: or you'll hear the collision if someone doesn't stop.
Context: or you'll hear the collision if someone doesn't stop.,Response: or you'll see the collision if they crash into the house.
Context: or you'll see the collision if they crash into the house.,Response: let's find a house that's at the end of a dead end.
Context: let's find a house that's at the end of a dead end.,"Response: that's perfect. the less traffic, the better."
Context: i hate looking for an apartment.,"Response: me, too."
"Context: me, too.",Response: we have a 2 o'clock appointment to see the one on main street.
Context: we have a 2 o'clock appointment to see the one on main street.,Response: we'd better get ready to go.
Context: we'd better get ready to go.,Response: it's an upstairs unit.
Context: it's an upstairs unit.,"Response: that's good, because i don't want to live under people with loud feet."
"Context: that's good, because i don't want to live under people with loud feet.",Response: and it's a corner unit.
Context: and it's a corner unit.,Response: that's great. we won't have neighbors on both sides of us.
Context: that's great. we won't have neighbors on both sides of us.,Response: no pets are allowed.
Context: no pets are allowed.,Response: perfect. we don't have to listen to barking dogs.
Context: perfect. we don't have to listen to barking dogs.,Response: and there are only six units in the whole building.
Context: and there are only six units in the whole building.,Response: where's the checkbook? i'm ready to rent it without even seeing it.
Context: did you call the manager?,Response: yes. he said he'd come over tomorrow.
Context: yes. he said he'd come over tomorrow.,Response: did he say what time?
Context: did he say what time?,Response: yes. he said he'd be here at 9 o'clock.
Context: yes. he said he'd be here at 9 o'clock.,Response: did he understand what the problem is?
Context: did he understand what the problem is?,Response: yes. i told him our doorbell doesn't work.
Context: yes. i told him our doorbell doesn't work.,Response: it shouldn't take him long to fix it.
Context: it shouldn't take him long to fix it.,Response: i don't even know why we need to fix it.
Context: i don't even know why we need to fix it.,Response: in case we have visitors.
Context: in case we have visitors.,Response: but they can just knock on the door.
Context: but they can just knock on the door.,"Response: actually, i want him to look at our carpet, too."
"Context: actually, i want him to look at our carpet, too.","Response: yes, it would be nice if he'd give us a new carpet."
Context: do you like this house?,"Response: yes, it's beautiful."
"Context: yes, it's beautiful.",Response: it's perfect for us and the kids.
Context: it's perfect for us and the kids.,"Response: three bedrooms, three bathrooms, and a big back yard."
"Context: three bedrooms, three bathrooms, and a big back yard.",Response: and we can afford it!
Context: and we can afford it!,Response: so are we going to buy it?
Context: so are we going to buy it?,Response: i'm afraid not.
Context: i'm afraid not.,"Response: it's too far from your job, isn't it?"
"Context: it's too far from your job, isn't it?",Response: i can't spend four hours on the road every day.
Context: i can't spend four hours on the road every day.,"Response: by the time you get home, you'll be too tired to even eat."
"Context: by the time you get home, you'll be too tired to even eat.",Response: i won't be able to play with the kids.
Context: i won't be able to play with the kids.,"Response: no, we have to find something closer to your job."
"Context: boy, it's chilly outside, isn't it?",Response: it sure is.
Context: it sure is.,"Response: in fact, it's chilly in the apartment, too."
"Context: in fact, it's chilly in the apartment, too.",Response: let's turn on the heat.
Context: let's turn on the heat.,Response: i'll check to make sure that all the windows are shut.
Context: i'll check to make sure that all the windows are shut.,Response: it should be warmer in a few minutes.
Context: it should be warmer in a few minutes.,Response: it's so nice to have a heated apartment.
Context: it's so nice to have a heated apartment.,Response: how did they survive in the old days?
Context: how did they survive in the old days?,Response: they had fireplaces.
Context: they had fireplaces.,Response: someone had to chop the wood.
Context: someone had to chop the wood.,Response: and carry it into the house.
Context: and carry it into the house.,Response: all we have to do is flip a switch.
Context: this is a nice neighborhood.,Response: the streets are clean and quiet.
Context: the streets are clean and quiet.,Response: the neighbors don't party on the weekends.
Context: the neighbors don't party on the weekends.,Response: people take care of their lawns.
Context: people take care of their lawns.,Response: no rusty old cars are sitting in the front yards.
Context: no rusty old cars are sitting in the front yards.,Response: we never have to call the police about anything.
Context: we never have to call the police about anything.,Response: our kids are completely safe.
Context: our kids are completely safe.,Response: so why are we selling our house?
Context: so why are we selling our house?,Response: they're building a 3-story apartment building on the corner.
Context: they're building a 3-story apartment building on the corner.,Response: so we've got to sell before property values go down?
Context: so we've got to sell before property values go down?,Response: yes. i still can't believe our city council allowed this building.
Context: yes. i still can't believe our city council allowed this building.,Response: they're probably getting something under the table.
Context: that was a huge fire in santa barbara.,"Response: yes, it was."
"Context: yes, it was.",Response: they said about 30 houses burned to the ground.
Context: they said about 30 houses burned to the ground.,Response: and they were expensive houses.
Context: and they were expensive houses.,Response: i feel so sorry for those people.
Context: i feel so sorry for those people.,Response: why feel sorry for rich people?
Context: why feel sorry for rich people?,Response: i feel sorry for anyone who loses their home.
Context: i feel sorry for anyone who loses their home.,"Response: so do i, but not if they're rich."
"Context: so do i, but not if they're rich.",Response: what does that have to do with it?
Context: what does that have to do with it?,Response: rich people think they're better than us.
Context: rich people think they're better than us.,Response: how many rich people do you know?
Context: how many rich people do you know?,Response: none.
Context: bears are invading our neighborhoods.,Response: of course they are. they're starving to death.
Context: of course they are. they're starving to death.,Response: they should stay in the woods where they belong.
Context: they should stay in the woods where they belong.,Response: there's no food in the woods.
Context: there's no food in the woods.,Response: can't they eat grass?
Context: can't they eat grass?,Response: do you think a bear is a cow?
Context: do you think a bear is a cow?,"Response: well, i've seen them eating berries."
"Context: well, i've seen them eating berries.",Response: berries aren't in season all year round.
Context: berries aren't in season all year round.,Response: it's too dangerous for kids and pets.
Context: it's too dangerous for kids and pets.,Response: people need to cover their trash cans.
Context: people need to cover their trash cans.,Response: the police need to shoot all the bears.
Context: the police need to shoot all the bears.,Response: you don't solve a problem by shooting it.
Context: who did you vote for?,Response: i voted for obama.
Context: i voted for obama.,Response: me too.
Context: me too.,Response: he will be a great president.
Context: he will be a great president.,Response: everyone likes him.
Context: everyone likes him.,Response: he's a good speaker.
Context: he's a good speaker.,Response: and he's really smart.
Context: and he's really smart.,Response: he will solve our problems.
Context: he will solve our problems.,Response: he will end the war.
Context: he will end the war.,Response: the next four years will be good years.
Context: the next four years will be good years.,"Response: i'll vote for him next time, too."
"Context: i'll vote for him next time, too.",Response: i think everyone will.
Context: the election is next week.,Response: who are you voting for?
Context: who are you voting for?,Response: i'm not voting for the mayor.
Context: i'm not voting for the mayor.,Response: why not?
Context: why not?,Response: he made promises that he didn't keep.
Context: he made promises that he didn't keep.,Response: like what?
Context: like what?,"Response: he promised to hire 1,000 more police officers."
"Context: he promised to hire 1,000 more police officers.",Response: how many did he hire?
Context: how many did he hire?,Response: one hundred!
Context: one hundred!,Response: maybe he had a good reason.
Context: maybe he had a good reason.,Response: maybe he's just a liar.
Context: maybe he's just a liar.,"Response: maybe i'll vote for someone else, too."
Context: i can't believe he won the election.,Response: only 15 percent of the voters turned out.
Context: only 15 percent of the voters turned out.,Response: that is a joke.
Context: that is a joke.,"Response: voting is so important, but people don't bother."
"Context: voting is so important, but people don't bother.",Response: many people think their vote doesn't matter.
Context: many people think their vote doesn't matter.,"Response: the mayor won by only 2,000 votes."
"Context: the mayor won by only 2,000 votes.",Response: we're stuck with him for four more years.
Context: we're stuck with him for four more years.,Response: voting is so easy. you can even mail your ballot in.
Context: voting is so easy. you can even mail your ballot in.,Response: all you have to do is vote and put a stamp on it.
Context: all you have to do is vote and put a stamp on it.,Response: how easy is that?
Context: how easy is that?,Response: i guess people just don't care.
Context: i guess people just don't care.,Response: they'll care when they see their taxes go up.
"Context: well, we have a new president.",Response: but we have the same old problems.
Context: but we have the same old problems.,"Response: well, he's made a few changes."
"Context: well, he's made a few changes.",Response: like what?
Context: like what?,Response: i think he closed the bowling alley in the white house.
Context: i think he closed the bowling alley in the white house.,"Response: oh, yeah. he's changing it to a basketball court."
"Context: oh, yeah. he's changing it to a basketball court.",Response: who's paying for that?
Context: who's paying for that?,Response: i think we are!
Context: i think we are!,"Response: well, that's okay, as long as it helps him relax and think more clearly."
"Context: well, that's okay, as long as it helps him relax and think more clearly.","Response: yes, we need a relaxed president who thinks clearly."
"Context: yes, we need a relaxed president who thinks clearly.",Response: do any other world leaders have a basketball court?
Context: do any other world leaders have a basketball court?,Response: they will. you know america always leads the way.
Context: people say that everybody loves obama.,"Response: well, more than 50 million people voted for mccain."
"Context: well, more than 50 million people voted for mccain.",Response: that's 50 million people who don't love obama.
Context: that's 50 million people who don't love obama.,Response: obama's got four years to make everyone happy.
Context: obama's got four years to make everyone happy.,Response: he's never going to make everyone happy.
Context: he's never going to make everyone happy.,Response: can you imagine being president?
Context: can you imagine being president?,Response: everyone wants you to solve their problems.
Context: everyone wants you to solve their problems.,Response: i have enough stress from trying to solve my own problems.
Context: i have enough stress from trying to solve my own problems.,Response: you and everybody else.
Context: you and everybody else.,Response: i would never want to be president.
Context: i would never want to be president.,Response: but think about all the power you'd have.
Context: but think about all the power you'd have.,Response: i prefer my quiet little life to all the power in the world.
Context: did you read this article?,Response: what article?
Context: what article?,Response: it says the mayor spends only 11 percent of his time on city duties.
Context: it says the mayor spends only 11 percent of his time on city duties.,Response: only 11 percent?
Context: only 11 percent?,Response: about 50 percent of the time he's traveling.
